"","Id","groupId","matchId","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","killPoints","kills","killStreaks","longestKill","matchDuration","matchType","maxPlace","numGroups","rankPoints","revives","rideDistance","roadKills","swimDistance","teamKills","vehicleDestroys","walkDistance","weaponsAcquired","winPoints","winPlacePerc","top.10","Class"
"1","4e8b4d4f830cfc","d98fd8670436b6","7916e9940cabeb",0,1,25.74,0,0,0,53,0,0,0,0,1918,"solo",96,91,1474,0,1216,0,0,0,0,2537,14,0,0.6316,"0","0"
"2","17109a173268b8","f7c6432e2a1fbb","d11df5abde1f9b",0,0,39.69,0,0,0,54,0,0,0,0,1467,"solo",94,89,1500,0,0,0,0,0,0,1048,5,0,0.5269,"0","0"
"3","fe3586bbd5c6b4","a37451fce4d5bb","c7334d06e85f46",0,0,99,0,0,0,6,0,0,0,0,1808,"solo",16,2,1500,0,0,0,0,0,0,0,9,0,0,"0","0"
"4","94530b559e22a2","bff12cbb8d7526","387e7ffeb5728d",0,1,203.4,0,0,1,20,0,2,1,33.85,1428,"solo",96,96,1749,0,0,0,0,0,0,905.6,4,0,0.5158,"0","0"
"5","ef9249ab19f6c1","006ad4bd2039ff","5345c117753e14",0,0,19.8,0,0,0,13,0,0,0,0,1808,"solo",13,2,1500,0,0,0,0,0,0,0,3,0,0,"0","0"
"6","71e6771b6ef27f","994a78bb39c5b3","088d75fabdc3c2",0,1,0,0,0,0,47,0,0,0,0,1877,"solo",93,89,1494,0,4262,0,0,0,0,1921,4,0,0.8043,"0","0"
"7","f5ba8c96df4729","183df810f30271","edc465e9090178",0,0,0,0,0,0,95,1092,0,0,0,1886,"solo",98,94,-1,0,0,0,0,0,0,13.88,0,1446,0.0309,"0","0"
"8","b266eeef88e546","d51a3c1a17ebab","40c01a4505dbbc",0,0,43,0,0,0,91,1168,0,0,0,1477,"solo",95,91,-1,0,0,0,0,0,0,13.19,3,1415,0.0319,"0","0"
"9","aaf528e351fae2","a4395d2a761fc0","c10a89a38af977",0,4,2.757,0,0,0,24,1068,1,1,79.99,1988,"solo",95,92,-1,0,4951,0,0,0,0,1626,9,1515,0.8723,"0","0"
"10","bc61890a487db5","7341e8335a7c3a","0a93925f3d66ce",0,2,0,0,0,5,58,0,0,0,0,1471,"solo",92,90,1458,0,0,0,0,0,0,780.7,4,0,0.5604,"0","0"
"11","82ce60003362d7","88761dbed7f0f3","75abed67dd68a6",0,2,90.09,0,0,0,49,0,0,0,0,1372,"solo",95,92,1503,0,0,0,0,0,0,2328,4,0,0.7553,"0","0"
"12","a23a4ca125a09c","77a3fa7da90bc5","bb711856e2ceb3",0,0,373.9,0,1,1,11,0,3,1,157.1,2028,"solo",96,91,1543,0,0,0,0,0,0,1076,4,0,0.6105,"0","0"
"13","586911769ee5c9","b340a90a6f52ad","9109201d6f8626",0,1,215,0,0,5,22,0,2,1,15.9,1901,"solo",99,94,1512,0,0,0,0,0,0,561.9,3,0,0.5,"0","0"
"14","d3f81f8f0cb020","68a0ee56998f71","fdb418d8190fb9",0,0,57.8,0,0,0,58,1000,0,0,0,1371,"solo",69,65,-1,0,0,0,0,0,0,25.3,1,1500,0.1029,"0","0"
"15","95090b88942e34","d8dc8c8d26da12","a9f5e6c4f0f09a",0,1,58.05,0,0,4,62,0,0,0,0,1918,"solo",98,94,1524,0,6599,0,0,0,0,1036,7,0,0.567,"0","0"
"16","3ea8e5c94b7760","38767aa7aaa77f","9b4b4fbbe7e52d",0,0,69.09,0,0,0,82,1204,0,0,0,1403,"solo",92,87,-1,0,0,0,0,0,0,20.02,1,1514,0.0769,"0","0"
"17","e6934c9b14e384","79f9fe9a95cd95","0f14437bbb4aee",0,0,0,0,0,0,83,1237,0,0,0,1507,"solo",93,91,-1,0,0,0,0,0,0,92.11,2,1507,0.0978,"0","0"
"18","dd10ec041ba901","7003d21fcc91d8","2da0ba75dba4b4",0,4,373.3,0,2,2,8,0,3,2,235.3,1850,"solo",93,91,1540,0,5518,0,0,0,0,2158,4,0,0.8804,"0","0"
"19","d411b5228507f4","8674e92c0c06d7","8d1da522ea6f20",0,0,100,0,0,0,39,1115,1,1,10.52,2064,"solo",94,89,-1,0,0,0,0,0,0,220.9,6,1480,0.1935,"0","0"
"20","7db4214459ac6c","50fe1fec256360","2144091cb8226c",0,2,275.3,0,0,5,16,0,2,1,38.26,1952,"solo",95,90,1500,0,0,0,0,0,0,2233,8,0,0.8511,"0","0"
"21","63199ced8fe34b","3c59445d645eed","061aa6ad1e3588",0,0,0,0,0,0,79,1432,0,0,0,1435,"solo",98,97,-1,0,0,0,0,0,0,56.67,3,1664,0.2371,"0","0"
"22","6048ec90bb28f7","8adecf7ab21c5a","2853f9319f2945",0,1,0,0,0,1,52,0,0,0,0,1440,"solo",96,93,1582,0,0,0,0,0,0,1862,2,0,0.6737,"0","0"
"23","890aab29264692","ea45f21fc3fb64","95301402fc47d7",0,0,70.38,0,0,0,80,1111,0,0,0,1956,"solo",90,87,-1,0,0,0,0,0,0,71.43,1,1526,0.1124,"0","0"
"24","716491f167b848","f103645b9118ae","2c0783637b0c38",0,2,100,0,0,0,25,0,1,1,6.549,1390,"solo",95,93,1532,0,0,0,0,1,0,1468,3,0,0.734,"0","0"
"25","5256ea16a603f4","d8abf8ea325835","3f819651e3c666",0,0,0,0,0,1,54,1200,0,0,0,1851,"solo",87,83,-1,0,0,0,0,0,0,523.4,2,1563,0.4535,"0","0"
"26","d8197dadd2b6d2","d206aa40939da3","2d1613e91ac65a",0,1,200,0,0,0,17,0,2,1,19.77,1442,"solo",96,95,1518,0,0,0,0,0,0,309,4,0,0.4316,"0","0"
"27","43022c9c4dbabc","eb4f8ea2999a91","3418b86396a665",0,0,0,0,0,0,94,0,0,0,0,1456,"solo",98,95,1528,0,0,0,0,0,0,62.58,0,0,0.0309,"0","0"
"28","913cff36ac2113","b43d12be45ea7a","71819d4d3be25c",0,0,0,0,0,0,86,1202,0,0,0,1360,"solo",97,93,-1,0,0,0,0,0,0,80.69,1,1499,0.1146,"0","0"
"29","c85a762d4a8afe","4d1356006f6148","387e7ffeb5728d",0,2,154.2,0,0,0,38,0,1,1,3.318,1428,"solo",96,96,1619,0,0,0,0,0,0,148.3,3,0,0.3263,"0","0"
"30","01b5cb0b28f7e8","043acc50ffbe71","6fc8554056388d",0,0,100,0,0,0,41,0,1,1,2.313,2001,"solo",94,92,1500,0,0,0,0,0,0,199.4,2,0,0.2151,"0","0"
"31","b496af569ff2ed","ba258ec6aab5d1","50f24d1be57671",1,4,324.4,0,0,2,17,1313,2,1,60.1,1898,"solo",92,90,-1,0,0,0,59.64,0,0,1753,3,1445,0.7363,"0","0"
"32","f70f826086308e","ff1199993b9c58","04398558a66377",0,5,200,0,0,1,16,0,2,1,21.19,2184,"solo",97,90,1510,0,0,0,0,0,0,1249,6,0,0.5,"0","0"
"33","56fda0f320bebd","9d1eceb1e9d575","c4a8008d273505",0,0,0,0,0,2,52,0,0,0,0,1958,"solo",96,94,1484,0,0,0,0,0,0,2344,4,0,0.6105,"0","0"
"34","155f9101dd4cb1","db309271857978","36ba8957ba552a",0,0,0,0,0,0,5,0,0,0,0,1390,"solo",18,1,1500,0,0,0,0,0,0,0,5,0,0,"0","0"
"35","778a1240138a6d","86f5433ef6c680","f16fa0834c9d36",0,1,185.8,0,1,1,34,0,1,1,7.225,1379,"solo",92,89,1513,0,0,0,13.69,0,0,1160,4,0,0.5934,"0","0"
"36","bb29c60248a158","4b225e4689b9e2","c625341f3f5dfa",0,0,0,0,0,0,80,1145,0,0,0,1931,"solo",94,88,-1,0,0,0,0,0,0,71.55,2,1511,0.1828,"0","0"
"37","f7c98b31e0dd95","e9d1fa3225f13c","711ccca1bf0f6b",0,1,475,0,1,0,5,1425,5,2,20.11,1498,"solo",94,92,-1,0,0,0,0,0,0,342.6,2,1488,0.5054,"0","0"
"38","6d6c1842a9e0e8","32a7e8f54bd2ba","0802fcfc7b36db",0,1,132.3,0,0,1,22,1478,1,1,9.132,1875,"solo",91,88,-1,0,6996,0,0,0,0,1967,5,1577,0.8,"0","0"
"39","c923858820d874","cc16ac36cb9e9e","dd1d714e4565e0",0,2,100,0,1,2,25,0,1,1,65.67,1869,"solo",98,94,1674,0,0,0,0,0,0,2063,6,0,0.4639,"0","0"
"40","40b1fbdb69289a","3759cf15c1357a","a4ca0eb869671e",0,0,0,0,0,0,53,0,0,0,0,1471,"solo",96,92,1508,0,0,0,0,0,0,792.3,5,0,0.6,"0","0"
"41","8d7fdafbc78e84","095a195621d2b0","4bb771183ad34b",0,0,0,0,0,0,55,0,0,0,0,2047,"solo",96,94,1772,0,6113,0,0,0,0,915.1,5,0,0.5368,"0","0"
"42","259b60fc091792","83d2643950bec5","de9abbbffdc642",0,0,100,0,0,3,32,1134,1,1,14.71,1272,"solo",98,92,0,0,0,0,0,0,0,202.3,2,1515,0.4742,"0","0"
"43","35aea27e00e98d","1be92be692759e","dde66d98106b11",0,1,476.3,0,0,1,5,1223,4,1,36.81,1397,"solo",97,94,-1,0,366.6,0,0,0,0,1936,2,1524,0.875,"0","0"
"44","378130faefa8d8","6250ced7efbbde","05fb9b535f070b",0,1,0,0,0,0,86,0,0,0,0,1396,"solo",96,95,1517,0,0,0,0,0,0,44.32,1,0,0.1158,"0","0"
"45","d459471eafd4ce","0ea53d8cccb42f","ad456e36f52de3",0,1,79.95,0,0,1,65,0,0,0,0,1448,"solo",98,97,1500,0,0,0,0,0,0,185.8,2,0,0.4536,"0","0"
"46","19930a44ca2655","b03eccff1e8209","0cd9f33c002ef7",0,4,200,0,0,5,15,0,2,1,52.91,1507,"solo",96,95,1594,0,0,0,67.89,0,0,2386,4,0,0.8526,"0","0"
"47","9cd70209fbc27c","2ccbd09345c69d","423cfa26246b5f",0,0,160.2,0,1,1,21,1145,2,1,21.12,1396,"solo",100,99,0,0,0,0,0,0,0,173.4,1,1457,0.3737,"0","0"
"48","178782f935ea7e","293b8a12878311","c4130d2fa68892",0,3,0,0,0,0,59,1227,0,0,0,1962,"solo",95,93,-1,0,2968,0,0,0,0,1002,8,1648,0.5213,"0","0"
"49","e3928aff4bca7d","8e330de72903c2","d2c0eb068f43ec",0,0,0,0,0,0,7,0,0,0,0,1808,"solo",15,2,1500,0,0,0,0,0,0,0,10,0,0,"0","0"
"50","95bb4ffefd14bb","3c007d67e189ff","1e0c94ac30e328",0,0,94,0,0,0,76,0,0,0,0,1404,"solo",96,93,1678,0,0,0,0,0,0,167.4,2,0,0.2105,"0","0"
"51","ebafd8593d0aa7","5b6d7be992c9b3","89744378e7d896",0,0,0,0,0,0,76,0,0,0,0,1448,"solo",97,93,1500,0,0,0,0,0,0,78.14,2,0,0.2708,"0","0"
"52","8a616214a4cf20","73b9d393ef33dd","2bec285e92d811",0,0,0,0,0,0,90,0,0,0,0,1455,"solo",98,94,1557,0,0,0,0,0,0,9.282,1,0,0.0412,"0","0"
"53","7748b6b429010a","1c390fb00d1e98","367c57b356b0ab",0,0,0,0,0,0,70,0,0,0,0,1430,"solo",96,95,1465,0,0,0,0,0,0,0,0,0,0.3474,"0","0"
"54","26e4b7e0711efa","ff063b487d96a2","9c3b360f469600",0,0,0,0,0,0,95,0,0,0,0,2001,"solo",99,96,1532,0,0,0,0,0,0,8.831,1,0,0.0408,"0","0"
"55","574dc85ab0b467","1bf6cbb4964d9c","7b2de51ac5168c",0,0,0,0,0,0,3,0,0,0,0,1609,"solo",19,1,1500,0,0,0,0,0,0,0,5,0,0,"0","0"
"56","54f63b195ee08b","10d2e8941cfc86","79ac2706b36f90",0,2,152.3,0,1,10,10,1187,2,1,59.54,1824,"solo",84,78,-1,0,4106,0,0,0,0,2513,2,1641,0.8554,"0","0"
"57","a11e5874d500dc","ae9f7ecd284c76","fd55a60daf9855",0,0,59.22,0,0,0,63,0,0,0,0,1445,"solo",96,94,1494,0,0,0,0,0,0,250.5,2,0,0.4,"0","0"
"58","1abc4c0b2a2cf3","5d315bf25d1a67","ea3340e97a06d7",0,5,87,0,0,2,29,0,1,1,13.31,2182,"solo",95,93,1487,0,5161,0,0,0,0,2646,9,0,0.6915,"0","0"
"59","a1d8299a590a03","7bc294dbfe83fb","3fb475de7a6108",0,0,0,0,0,0,77,1000,0,0,0,1449,"solo",94,93,-1,0,0,0,0,0,0,51.06,1,1500,0.2043,"0","0"
