"Id","groupId","matchId","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","killPoints","kills","killStreaks","longestKill","matchDuration","matchType","maxPlace","numGroups","rankPoints","revives","rideDistance","roadKills","swimDistance","teamKills","vehicleDestroys","walkDistance","weaponsAcquired","winPoints","winPlacePerc","top.10"
"db007df1c6bfd9","ae6ca6bbf92290","8dabaf5de9df74",0,1,187,0,0,0,12,0,2,1,31.63,1352,"solo",96,91,1500,0,0,0,0,0,0,2519,4,0,0.8737,"0"
"c0f3615e6e4e92","cb4921b5fbe9e7","c88eed3eaba0ad",0,0,0,0,0,0,91,0,0,0,0,1427,"solo",94,93,1504,0,0,0,0,0,0,0,0,0,0.0323,"0"
"023c75b5a33d28","d36487e186fa3e","ea32449c1b0148",0,0,100,0,1,0,32,1003,1,1,54.99,1470,"solo",97,93,-1,0,0,0,0,0,0,115,2,1485,0.3958,"0"
"2639baa809a010","dc0c08ecec34ab","3bfd8d66edbeff",0,0,39.97,0,0,0,75,0,0,0,0,1928,"solo",99,95,1497,0,0,0,0,0,0,108.1,3,0,0.2653,"0"
"181789de38c30e","2e0aec37cf64dd","a5ded0e832c843",0,2,0,0,0,3,44,0,0,0,0,1979,"solo",96,89,1562,0,1151,0,43.94,0,0,2955,6,0,0.8105,"0"
"955a39464c8201","810bd094a3f820","8618c1a40cb5b2",0,2,100,0,0,0,35,0,1,1,4.357,1882,"solo",97,93,1521,0,0,0,0,1,0,1491,1,0,0.4271,"0"
"34d4984cca6cfe","54ab12f13518bd","e13a6135437f54",0,1,170.2,0,1,3,10,0,3,1,43.38,1896,"solo",92,88,1535,0,0,0,0,0,0,2539,9,0,0.6813,"0"
"065d64f40ee665","367f621884cbd0","492137c2d20408",0,0,0,0,0,0,85,0,0,0,0,1891,"solo",97,96,1507,0,0,0,0,0,0,68.64,1,0,0.1562,"0"
"5028c3a1575d37","9111b9a25586fe","0aee0ee61f4453",0,0,0,0,0,0,85,0,0,0,0,1457,"solo",95,90,1507,0,0,0,0,0,0,204.8,0,0,0.0851,"0"
"e0a6bac583d52a","9e7101057e2c6d","329d73ef7beae9",0,1,147.1,0,1,1,12,1000,2,1,33.83,1455,"solo",95,92,-1,0,0,0,0,0,0,1959,6,1500,0.8723,"0"
"0ef0a9ffbfc0af","12d3cc91d27a8d","f93e3305a8d91e",0,0,64.5,0,0,0,48,1052,0,0,0,1365,"solo",97,92,-1,0,0,0,0,0,0,602.7,6,1519,0.7083,"0"
"9344dce77e5725","d2f987e0b503cd","e2057e59adca59",0,0,0,0,0,0,65,0,0,0,0,1455,"solo",99,95,1500,0,0,0,0,0,0,341.7,4,0,0.3673,"0"
"432ceb2999391f","d12c8110f61904","68310b0eee3f8e",0,0,5.679,0,0,0,61,1006,0,0,0,1863,"solo",95,92,-1,0,1797,0,0,0,0,815.1,6,1440,0.4894,"0"
"b420e4391b5744","a0e53445eb1ffc","6529bdb4dbfed9",0,0,49.02,0,0,0,29,1254,0,0,0,1200,"solo",38,36,-1,0,0,0,0,0,0,431.3,2,1483,0.3243,"0"
"cad55c6c4684a9","a1ff338356356a","562a02b3399612",0,0,0,0,0,0,73,1015,0,0,0,1938,"solo",98,94,-1,0,0,0,0,0,0,496,4,1510,0.2784,"0"
"1832b380aa5945","f14d0e3dada497","1f7f0721baec0c",0,0,163.1,0,0,0,37,0,1,1,59.19,1515,"solo",100,99,1507,0,0,0,0,0,0,1009,3,0,0.5657,"0"
"06a2550e9deea1","081d1f6008efaf","56c1fbb3a16073",0,2,300,0,1,6,12,0,3,1,20.42,1464,"solo",95,90,1678,0,0,0,0,0,0,1507,7,0,0.6064,"0"
"958159c5b74be0","fda904436d5b70","cd5fd5dd6bde40",0,1,112.8,0,0,0,54,0,0,0,0,1792,"solo",96,94,1481,0,0,0,0,0,0,1440,6,0,0.6737,"0"
"ffc08071d33538","1f79b3d2f55882","0f0267de3192c2",0,2,206.2,0,1,14,13,0,2,1,37.52,1928,"solo",97,96,1508,0,5817,0,0,0,0,730.4,5,0,0.8229,"0"
"fe7d5735d81c05","bb2e0b4c4efa99","426c567e2d5c9e",0,0,0,0,0,0,71,0,0,0,0,1775,"solo",97,89,1751,0,385.6,0,0,0,0,698.4,3,0,0.3333,"0"
"068e842a711140","f8adab4009dba8","ada9b116b7e374",0,1,250.5,0,0,1,18,0,2,1,58.65,1886,"solo",99,94,1502,0,0,0,0,0,0,1933,9,0,0.5306,"0"
"309ef72b4c6122","1497edb2285860","2ee39bf378f0c1",0,1,100,0,0,0,33,0,1,1,6.724,1924,"solo",97,97,1492,0,1460,0,0,0,0,1323,3,0,0.3854,"0"
"96bf31bc113c57","ac471018870028","22d1062ce66ef7",0,2,184.2,0,0,2,15,0,2,1,36.77,1348,"solo",94,92,1500,0,0,0,0,0,0,969.5,5,0,0.7742,"0"
"7b7a4f2a33920d","636bb74a50e4af","6ad80f7f0d5a38",0,4,309,0,1,3,11,0,3,1,101.4,1447,"solo",92,90,1535,0,0,0,0,0,0,536.1,3,0,0.4396,"0"
"8968d5571a9ef8","71bb619a380f61","0e0fa5bfb28abc",0,0,0,0,0,0,64,0,0,0,0,1425,"solo",98,96,1500,0,1336,0,0,0,0,751,5,0,0.5258,"0"
"8ed7f4da707038","edeb873f4ff1ea","3482b89a263cb1",0,0,187,0,0,0,20,0,2,1,25.09,1780,"solo",97,92,1490,0,0,0,0,0,0,228.2,2,0,0.2396,"0"
"57aceb339281b3","0a1b181141af51","4a0749b578c69c",0,0,90.3,0,0,0,90,0,0,0,0,1903,"solo",95,95,1486,0,0,0,0,0,0,22.28,2,0,0.0532,"0"
"a545dfd1ef5796","33ae3876180525","0e0fa5bfb28abc",0,0,39.6,0,0,0,89,0,0,0,0,1425,"solo",98,96,1505,0,0,0,0,0,0,14.86,0,0,0.0928,"0"
"037188185b77a7","458cc3f9a41abe","1f0a2d0a518c62",0,1,184.4,0,0,0,27,1000,1,1,1.675,1419,"solo",92,88,-1,0,0,0,0,0,0,611.1,4,1500,0.8571,"0"
"adfb7a7f7a3d4b","070ff480806746","5628e4b6177a1a",0,0,29.07,0,0,1,56,0,0,0,0,1969,"solo",98,96,1516,0,0.0116,0,80.15,0,0,5859,5,0,0.6804,"0"
"d28f06d9714aa5","99b3d59af551f1","a4063f40804b24",0,4,0,0,0,3,49,0,0,0,0,2055,"solo",96,90,1646,0,3985,0,0,0,0,1343,3,0,0.6316,"0"
"df81c18ef2a6e1","f1fac616c516e6","3a9f41798bb11b",0,1,268.4,0,0,0,26,0,1,1,18.36,1972,"solo",94,90,1521,0,1779,0,0,0,0,2159,3,0,0.7742,"0"
"34e7c0ea882bdd","3edeb9b5e51f4d","b83050c0d1dbae",1,1,244.9,0,1,1,21,1409,2,1,5.283,1421,"solo",99,99,-1,0,0,0,0,0,0,313.6,4,1427,0.2857,"0"
"64a06e07808a35","7428f515a41135","9e49bfa4a7e723",0,2,157.3,0,0,5,24,0,1,1,4.482,1508,"solo",95,93,1530,0,0,0,0,0,0,1220,2,0,0.8723,"0"
"1ba30c3e0ae824","61f92a8b6284d8","60917996f57b73",0,1,0,0,0,0,53,0,0,0,0,1513,"solo",95,91,1501,0,1468,0,0,0,0,640.3,4,0,0.7553,"0"
